Numero d'inventario;Autore;Titolo;Data;Materia e tecnica;Dimensioni;Descrizione;Percorso
d’Avalos 22a;Pierre Jacques Volaire;Eruzione del Vesuvio dal Ponte della Maddalena;1782;Olio su tela;Misure senza cornice: 130 x 229 cm Misure con cornice: 144 x 239,5 x 6,5 cm;Protagonista del dipinto è una delle spettacolari eruzioni del Vesuvio che Pierre Jacques Volaire poté osservare a Napoli fin dal 1769, anno in cui giunse in città dopo un soggiorno a Roma. Nell’opera, il fiume incandescente che discende dal crinale del vulcano, minacciando i centri abitati, amplifica la drammaticità dell’evento naturale. In primo piano, un corteo sgomento e disordinato attraversa il ponte della Maddalena in direzione di Napoli, illuminato dalla luce calda della lava, cui fa da contrappunto, sulla destra, il bagliore freddo della luna che rischiara il paesaggio del golfo. Un piccolo gruppo di figure, in piedi sul parapetto del ponte, osserva la scena con curiosità.  Il dipinto, firmato e datato 1782, è forse da riferire alla violenta eruzione del 1767, i cui effetti furono evitati, secondo la tradizione, grazie all’intercessione di san Gennaro, patrono della città, che avrebbe fermato il flusso lavico poco prima che raggiungesse Portici, centro densamente abitato e sede di una delle residenze borboniche. Dell’opera si conoscono cinque versioni con leggere variazioni, accomunate dalla presenza di elementi costanti, quali il vulcano in eruzione e il ponte, motivo probabilmente ispirato a un’incisione seicentesca raffigurante l’eruzione del 1631, della quale si conserva un esemplare presso il Museo e Certosa di San Martino.  L’attività del Vesuvio stimolò profondamente l’immaginario dell’artista, che in Francia aveva collaborato con il pittore Joseph Vernet, noto paesaggista apprezzato per i suoi effetti atmosferici. Nella seconda metà del Settecento, il vulcano divenne una meta privilegiata per gli intellettuali del Grand Tour, attratti dai luoghi della classicità e dalle recenti scoperte archeologiche di Pompei ed Ercolano. A Napoli, Volaire trovò un pubblico colto e appassionato, per il quale realizzò vedute e scene animate da effetti luministici intensi e carichi di pathos. Considerato uno dei maggiori interpreti del genere, nei decenni successivi svilupperà un linguaggio più narrativo e pittoresco.  Il dipinto fu probabilmente commissionato da Tommaso d’Avalos per la prestigiosa collezione di famiglia, la quale, in assenza di eredi diretti, fu donata nel 1862 dal nipote Alfonso d’Avalos alla Pinacoteca del Museo Nazionale di Napoli e acquisita ufficialmente dallo Stato italiano nel 1882.;28 - Pierre-Jacques Volaire_Eruzione del Vesuvio dal ponte della Maddalena_ph.L.Romano_3002
Q 129;Tiziano;Paolo III e i nipoti;1545 - 1546;Olio su tela;Misure senza cornice: 210x174 cm Misure con cornice: 225x202 cm;Quando giunge a Roma nell’ottobre del 1545, Tiziano è già uno dei ritrattisti più ambiti dalle corti europee. Ha circa sessant’anni e accetta l’invito di papa Paolo III Farnese e del nipote, il cardinale Alessandro, con la speranza – poi disattesa – di assicurare al figlio Pomponio una rendita derivante dal beneficio ecclesiastico dell’abbazia di San Pietro in Colle.  La richiesta che gli viene rivolta è di eseguire un dipinto capace di legittimare la spregiudicata politica dinastica perseguita dal pontefice, che pochi mesi prima, nel settembre del 1545, aveva separato i territori emiliani dallo Stato della Chiesa per assegnarli al figlio Pierluigi. A tale scopo, Tiziano prende come riferimento compositivo un celebre precedente: il Ritratto di Leone X con i cardinali Giulio e Luigi de’ Medici dipinto da Raffaello nel 1518, che aveva potuto conoscere tramite una copia conservata a Mantova.  La scena viene articolata con straordinaria coerenza cromatica, tutta giocata sulle molteplici sfumature del rosso. Al centro è collocato il papa, seduto alla scrivania, con il camauro, la mozzetta e l’anello in evidenza. Alla sua destra, in posizione di rilievo, si trova il cardinale Alessandro, la cui mano poggiata sul sedile suggerisce simbolicamente il passaggio di potere auspicato da Paolo III ma mai realizzato. A sinistra, Ottavio – destinato a ereditare il ducato di Parma e Piacenza e sposo di Margherita d’Austria, figlia naturale dell’imperatore Carlo V – è raffigurato nell’atto di terminare la cerimonia della riverenza, che prevedeva tre inchini, la genuflessione e infine il bacio del piede del pontefice.  Il dipinto fu lasciato incompiuto, probabilmente a causa della delusione di Tiziano per il mancato ottenimento dei benefici destinati al figlio. Rimase privo di cornice almeno fino al 1644, come risulta dagli inventari di Palazzo Farnese, e solo nel 1653 fu corredato da una cortina in ormesino verde, riservata alle opere di maggiore prestigio.  Oggi l’opera è considerata uno degli esempi più alti di ritratto di corte, capace di condensare le dinamiche del potere all’interno delle grandi famiglie nobiliari del Cinquecento. Essa rappresenta un punto nodale nel progetto iconografico con cui i Farnese costruirono la propria immagine istituzionale, culminato nei monumentali busti in marmo di Paolo III realizzati da Giovanni Battista Della Porta nel 1577.;29 - Tiziano Vecellio_Ritratto di Paolo III con i nipoti_ph.L.Romano_2131
Q 133;Tiziano;Ritratto del Cardinale Alessandro Farnese;1488-1490;Olio su tela;Misure senza cornice: 97x75 cm Misure con cornice:118,5x97x 6,5 cm;Tutte le contraddizioni della complessa personalità del Gran Cardinale Alessandro Farnese emergono con forza nel ritratto eseguito da Tiziano, già a partire dalla potente costruzione cromatica: al predominio del rosso del talare cardinalizio si contrappone il drappeggio di un verde squillante, acceso da improvvisi bagliori di giallo che contrastano con il blu intenso del collare. Questa tensione tra i colori riflette visivamente il conflitto interiore del protagonista.  Alessandro Farnese (1520–1589) ha appena quattordici anni quando viene forzato a rinunciare alla primogenitura e ai relativi privilegi, per essere destinato alla carriera ecclesiastica: il nonno, Paolo III, lo nomina cardinale di Sant’Angelo in Foro Piscinum. Figlio di Pierluigi Farnese e Girolama Orsini, Alessandro diventa fin da giovane una delle principali pedine – e al tempo stesso un abile stratega – nello scacchiere dinastico orchestrato dal pontefice per rafforzare la posizione internazionale della casata, nella speranza, rimasta vana, di assicurare ai Farnese un futuro papa.  Diplomatico raffinato e interlocutore privilegiato nei rapporti, spesso complicati, tra la famiglia e Tiziano, Alessandro fu compreso a fondo dall’artista, che seppe coglierne inquietudini e ambizioni. Un dettaglio eloquente, la presenza del guanto stretto nella mano, suggerisce un’identità sospesa tra i codici della nobiltà laica e l’obbligo della veste religiosa: un segno sottile ma chiaro del malcontento con cui il giovane cardinale accettò la rinuncia alla vita mondana, tanto più significativo in un periodo di crescente rigore controriformista.  È verosimile che il ritratto sia stato eseguito durante il soggiorno romano di Tiziano, tra l’ottobre del 1545 e il giugno del 1546, parallelamente all’elaborazione del grande dipinto con Paolo III e i nipoti, in cui Alessandro compare in una posa simile, ma specularmente ribaltata.  A testimoniare le relazioni privilegiate del cardinale con gli artisti dell’ultimo Rinascimento, il ritratto di Tiziano è oggi esposto al Louvre accanto a quello, realizzato da El Greco, del miniatore Giulio Clovio. Quest’ultimo fu autore del celebre Libro d’Ore, oggi conservato a New York, a lungo ipotizzato come il prezioso contenuto della celebre Cassetta Farnese.;30 - Q 145 Raffaello Sanzio_Ritratto del cardinale Alessandro Farnese_Capodimonte_ph.L.Romano_3030
 Q 191;El Greco;Ritratto di Giulio Clovio;1571-1572;Olio su tela;Misure senza cornice: 81,4x104 cm Misure con cornice: h 95x115x8 cm;Nel ritratto eseguito da El Greco, il protagonista è Giulio Clovio, celebre miniatore croato stabilitosi a Roma nel 1539 e figura centrale nella cerchia culturale dei Farnese, presso cui prestò servizio per decenni. L’opera riflette non solo il legame personale tra l’artista e il suo effigiato – Clovio fu infatti amico e protettore del giovane pittore cretese – ma anche il fitto intreccio di relazioni intellettuali e artistiche che gravitavano attorno a Palazzo Farnese nella seconda metà del Cinquecento.  È proprio grazie all’intercessione di Clovio che El Greco viene introdotto presso la corte del cardinale Alessandro Farnese: in una lettera datata 16 novembre 1560, il miniatore raccomanda il giovane artista come valido discepolo di Tiziano, con cui il Theotokòpoulos aveva effettivamente iniziato a lavorare intorno al 1567, assorbendo rapidamente la lezione della maniera veneta. El Greco fu accolto a Palazzo Farnese da Fulvio Orsini, dotto antiquario e consigliere del cardinale, per il quale dipinse numerose opere, tra cui il ritratto qui analizzato.  Clovio è rappresentato a mezza figura, abbigliato con l’abito talare, nell’atto di mostrare con misurato orgoglio il proprio capolavoro: l’Officium Virginis, il prezioso libro d’ore commissionatogli da Alessandro Farnese nel 1537 e completato nel 1546, oggi conservato alla Pierpont Morgan Library di New York. L’opera miniata è raffigurata aperta, con visibili le illustrazioni della Creazione del sole e della luna e della Sacra Famiglia, rese con tratto libero e vivace, in perfetta sintonia con lo spirito innovativo che contraddistingue Clovio.  L’ambiente in cui la figura è inserita è sobrio e neutro nei toni, ravvivato soltanto da una finestra aperta su un paesaggio mosso dal vento, con nubi che lasciano filtrare a fatica la luce solare. La resa pittorica, densa e luminosa, evidenzia i tratti dell’età avanzata di Clovio, conferendogli un’aria vissuta e riflessiva. I toni caldi dell’incarnato, l’attenzione alla consistenza della materia pittorica e la costruzione atmosferica rimandano chiaramente all’eredità lagunare di Tiziano, Tintoretto e Bassano, mentre si intrecciano con la radice bizantina dell’artista greco, che proprio in questa fase riesce a fondere, in modo del tutto originale, il naturalismo veneto con un linguaggio visionario e spirituale.  Questo ritratto, custodito oggi al Museo di Capodimonte, costituisce una delle prime prove del talento rielaborativo di El Greco, e al tempo stesso un prezioso documento del raffinato ambiente culturale che ruotava intorno al Gran Cardinale Alessandro Farnese, al crocevia tra arte, diplomazia e mecenatismo europeo.;31 - Q 191 El Greco_Ritratto di Giulio Clovio-2636
OA 136;Antonio Joli;Ferdinando IV a cavallo con la corte nel Belvedere della Reggia di Capodimonte;1760-1761;Olio su tela;Misure senza cornice: 71,5 x 137,5 cm Misure con cornice: 84 x 143,5 x 7,5 cm;Antonio Joli, artista veneziano di formazione teatrale, fu tra i massimi interpreti della pittura vedutista e cerimoniale nella Napoli borbonica del XVIII secolo. Scenografo e pittore ufficiale di corte, dal 1762, per volere di Carlo di Borbone, ricoprì l’incarico di scenografo stabile del Teatro di San Carlo, per il quale realizzò oltre 150 apparati scenici destinati a opere liriche, cantate e balletti, confermandosi come figura di primo piano nella cultura spettacolare del Regno.  L’opera qui analizzata rappresenta una delle rare testimonianze pittoriche di una pubblica cerimonia svoltasi nel Real Sito di Capodimonte nel corso del Settecento. L’intera composizione è orchestrata secondo un impianto teatrale: la grande esedra del bosco in primo piano funge da naturale proscenio, mentre sullo sfondo si dispiega l’imponente Reggia di Capodimonte, con le sue architetture ancora dotate di finestre al posto dei successivi balconi, e più oltre si apre la veduta spettacolare del golfo di Napoli, in cui si distinguono l’isola di Capri, Capo Posillipo, la collina del Vomero, con la Certosa di San Martino e Castel Sant’Elmo.  Con una pennellata rapida e precisa, Joli mette in scena il giovane Ferdinando di Borbone, non ancora decenne, in sella a un cavallo bianco, in posa araldica, circondato da cortigiani, dignitari, gentiluomini e ufficiali disposti ad arte secondo una coreografia cortese, a metà tra realtà e finzione teatrale. Tale inquadramento, unito alla giovanissima età del sovrano raffigurato, consente di datare il dipinto con buona certezza al biennio 1760–1761 (Middione, 2012).  Oltre al valore documentario dell’opera – che restituisce un raro scorcio della vita di corte napoletana in epoca borbonica – il dipinto assume anche una funzione celebrativa: la Reggia di Capodimonte, sede della prestigiosa collezione farnesiana trasferita da Parma, diventa emblema della continuità dinastica e culturale tra la famiglia Farnese e i Borbone di Napoli, sottolineata dalla scelta di ambientare la scena in prossimità del piano nobile affacciato sul mare, dove avevano sede le più importanti sale di rappresentanza.  L’opera, infine, rappresenta un perfetto esempio della capacità di Antonio Joli di fondere il vedutismo d’impronta veneziana con l’impostazione teatrale, facendo del paesaggio stesso una scena e della storia uno spettacolo da ammirare.;32 - Antonio Joli_Ferdinando IV a cavallo con la corte_ph.L.Romano_Capodimonte_11010
Q 1974;Andy Warhol;Vesuvius;1985;Acrilico su tela;Misure senza cornice: 231x300x3 cm Nota: il dipinto è originariamente senza cornice;Andy Warhol affronta, con Vesuvius (1985), il tema della veduta napoletana restituendone una versione esplosiva, vitale ed eccessiva, reinterpretata attraverso la lente della Pop Art. L’opera, realizzata per il ciclo espositivo voluto dalla Soprintendenza Speciale per il Polo Museale Napoletano in collaborazione con il gallerista Lucio Amelio, si configura come una riflessione visiva sull’iconografia ossessiva e ripetuta del vulcano partenopeo, simbolo duplice di bellezza e minaccia.  La composizione trabocca di colore acceso, quasi violento, e pare animata da una forza interna che agita la superficie pittorica: la pennellata torna ad essere protagonista in una fase della carriera dell’artista in cui la serigrafia – cifra stilistica dominante del suo lavoro dagli anni Sessanta – aveva progressivamente sostituito la manualità esecutiva in favore della riproducibilità meccanica e della depersonalizzazione del gesto. Con Vesuvius, tuttavia, Warhol recupera la pittura a mano libera, sottolineando l’eccezionalità del progetto e la forte componente emotiva ad esso legata.  L’immagine del vulcano, protagonista assoluto della tela, si staglia contro uno sfondo nero, accentuando la tensione tra attrazione e minaccia, bellezza e distruzione. Warhol trasforma il Vesuvio da emblema paesaggistico a entità mitica e insieme reale, come egli stesso dichiarò nell’intervista rilasciata a Michele Buonomo nel 1985: “Per me l’eruzione è un’immagine sconvolgente, un avvenimento straordinario e anche un grande pezzo di scultura. Il Vesuvio per me è molto più grande di un mito: è una cosa terribilmente reale.”  L’opera si inserisce in una lunga tradizione figurativa che, dalla pittura settecentesca fino alla fotografia turistica, ha moltiplicato le rappresentazioni del vulcano, declinandone all’infinito la silhouette e cristallizzandone l’immagine in uno stereotipo visivo. Ma Warhol, nel contesto della Napoli post-terremoto e in dialogo con l’intenso clima culturale attivato da Amelio, ne sovverte l’inerzia iconografica trasformandolo in un segno contemporaneo, tra tragedia e spettacolo, realtà e simulacro.  Realizzato in diciotto varianti per l’esposizione nel Salone dei Camuccini al Museo di Capodimonte, il dipinto rappresenta uno degli esiti più intensi del progetto di apertura del museo al linguaggio del contemporaneo, inaugurato nel 1978 con la mostra di Alberto Burri, e proseguito, sotto l’impulso visionario di Amelio, con un dialogo radicale tra la storia dell’arte e le espressioni artistiche del presente.  Donata nel 1993 da Lucio Amelio al museo, l’opera è oggi parte della collezione permanente del Museo e Real Bosco di Capodimonte, a testimonianza di un momento cruciale nella relazione tra Napoli e la cultura visiva del secondo Novecento.;33 - Museo di Capodimonte_Andy Warhol_Vesuvius_ph.L.Romano_0054
Proprietà FEC Fondo Edifici di Culto;Colantonio;Polittico di San Vincenzo Ferrer;1456-1458;olio su tavola ;"Misure senza cornice: pannello centrale h 191x87x10 cm; predella h 46x220x5; coppia superiore h 42x48x7, h42x48x7; coppia centrale: h60x48,5x7, h60x48,5x7; coppia inferiore h 60x48x6, h60x48x6";"Il Polittico di san Vincenzo Ferrer si inserisce nel solco delle celebrazioni legate alla canonizzazione del predicatore domenicano, avvenuta nel 1455. La committente Isabella di Chiaromonte, dipinta come duchessa di Calabria e con il suo stemma oro e rosso nella predella in basso, ci fornisce anche una datazione ante quem, ovvero il 1458, anno in cui il suo consorte Ferrante d’Aragona divenne sovrano di Napoli e dunque ella regina. Nella tavola centrale, trasformata in una grande nicchia a valva di conchiglia dalla forte connotazione toscana, il santo, in atto di benedire, è stante e in una piena consapevolezza spaziale, mentre nelle tavole ai lati si dispiegano episodi della sua vita in cui i già noti modelli fiamminghi si sincretizzano con il nuovo bagaglio rinascimentale italiano. I misurati interni domestici ed ecclesiastici, le visioni urbane e il paesaggio marino in tempesta, dal sapore tenebroso e romantico, creano scenografie sempre diverse, rappresentando nell’insieme un portfolio completo del maestro napoletano. La collocazione dell’opera nella chiesa di San Pietro Martire è ricordata dai maggiori scrittori napoletani tra il Sette e l’Ottocento; come anche per il San Girolamo, la sua attribuzione a Colantonio è stata sgombrata dai dubbi solo grazie alla lettera di Pietro Summonte del 1524 (Summonte, ed. 1925). Nel Settecento il dipinto venne arricchito da una cornice marmorea, mentre nel 1997, per motivi cautelativi, è entrato nel Museo di Capodimonte sotto forma di deposito temporaneo. L’opera è dunque proprietà del Fondo Edifici di Culto, ma la sua presenza arricchisce e completa la narrazione di una sala che ci racconta la Napoli del Quattrocento e soprattutto la grande stagione della committenza del periodo aragonese.";34 - 5501 EK Polittico S.Vincenzo Ferrer e storie
Q 60;Andrea Mantegna;Ritratto di Francesco (o Ludovico?) Gonzaga;1460-1462 ca.;tempera su tavola;Misure senza cornice: 24,5x17,5 cm Misure con cornice: 43,5x36,5 cm;"Il dipinto raffigura un giovanetto di profilo, in abiti da protonotario apostolico, da identificarsi con uno dei figli di Ludovico Gonzaga (1412-1478), secondo marchese di Mantova, e di Barbara di Brandeburgo (1422-1481): o il secondogenito Francesco (1444-1483) all’età di diciassette anni, raffigurato tra il 1460 e i primi mesi del 1462, ovverosia prima della sua nomina a cardinale nel dicembre del 1461 e la conseguente cerimonia a Roma del 24 marzo 1462 (M. Lucco in Mantegna a Mantova 2006-2007; K. Christiansen in Gesichter der Reinassance 2011-2012, p. 234, cat. 89); o il quartogenito Ludovico (1460-1511), insignito della carica di protonotario all’età di soli nove anni, nel 1470 (Agosti 2005; M. Servi in Mantegna 2008-2009, p. 198, cat. 69). Probabilmente su richiesta dei committenti, plausibilmente i genitori, dato il carattere celebrativo del piccolo ritratto, Mantegna utilizza il modulo della raffigurazione di profilo, ispirato a medaglie e monete antiche, molto diffuso nella cultura artistica dei primi decenni del Quattrocento, in particolare in Pisanello. La finezza del contorno e del modellato, che sembra quasi scolpito, evidenzia la cultura antiquaria dell’artista, che, allo stesso tempo, restituisce l’immagine di un adolescente timido e imbronciato, creando un contrasto tra l’ufficialità della rappresentazione e la tensione emotiva del ragazzo. La luminosità dell’incarnato, la delicatezza del rosso delle vesti sul fondo verde cupo, l’espediente illusionistico del parapetto, accennato in primo piano e oggi ben visibile grazie all’utilizzo di una cornice di area veneta di fine Quattrocento (recentemente acquistata sul mercato antiquario dal Museo), contribuiscono ad accentuare il carattere prezioso, quasi “alla fiamminga”, del ritratto, tanto da aver fatto supporre, in attesa di indagini tecniche specifiche, l’utilizzo dell’olio in combinazione con la tempera (Lucco 2006, p. 66). L’opera viene ricordata come “ritratto di un cardinale Gonzaga” nell’inventario dei beni redatto nel 1600 alla morte di Fulvio Orsini, dotto bibliotecario di casa Farnese (M. Utili in Museo e Gallerie Nazionali di Capodimonte 1995, p. 38). Successivamente, si perse l’identità del personaggio, fino all’intervento di Frizzoni (1895) che propose il nome di Mantegna per l’autore e di Francesco Gonzaga per il giovanetto raffigurato, mentre Fiocco (1937) ipotizzò si trattasse del fratello più giovane, Ludovico, dando luogo alla discussione ancora oggi in atto.";35 - Q 60 Andrea Mantegna_Ritratto di Francesco Gonzaga_ph.L.Romano_0767
Q 130;Tiziano;Ritratto di Paolo III senza camauro;1543;Olio su tela ;Misure senza cornice: 106x85cm Misure con cornice:133x108,5 x7 cm;Posa a tre quarti, sguardo penetrante, un accenno di sorriso sornione, una mano ancorata al bracciolo, l’altra ossuta che mostra l’anello papale, posata sulla borsa. Così si presenta nel primo ritratto ufficiale eseguito da Tiziano, Paolo III Farnese: senza camauro, in segno di umiltà, con la borsa in evidenza a significare ambiguamente il dovere di carità ma anche la discrezionalità nell’elargire benefici ecclesiastici. I quindici anni di papato di Paolo III, al secolo Alessandro Farnese, sono stati tra i più movimentati della storia dello Stato pontificio. Tra il 1534 e il 1549 si sono susseguite la definitiva scomunica di Enrico VIII d’Inghilterra (1538), la fondazione dell’Ordine dei Gesuiti (1540), l’inizio del Concilio di Trento (1545) e le acrobazie diplomatiche nelle relazioni tra Carlo V d’Asburgo e Filippo I di Francia in guerra, in quegli anni, per il predominio sulla penisola italiana. Fu il cardinale Alessandro Farnese, nipote del papa, a chiedere a Tiziano, il pittore più ricercato dalle corti europee e che in precedenza già aveva ritratto il fratello minore Ranuccio (Zapperi, 1990), di raggiungere la corte papale in viaggio in Emilia per incontrare l’imperatore Carlo V. Un pagamento del 22 maggio 1543, di 2 scudi e 20 soldi per il mero trasporto, sembrerebbe suggerire che il ritratto di Paolo III sia stato dipinto velocemente tra inizio aprile e fine maggio (Zapperi, 1990). L’accuratezza di pennellate brevi e incisive nel dettagliare la bordura della mozzetta, la consunzione della stoffa del sedile e la luce cangiante del velluto rosso acceso da bagliori chiari hanno concorso a decretare il successo immediato del dipinto, a partire dalle parole del poeta Pietro Aretino, che scrive a Tiziano del “miracolo fatto dal vostro pennello”, fino alla seconda versione realizzata per Guido Ascanio Sforza di Santa Flora, il Ritratto di Paolo III con camauro sempre parte della collezione Farnese, e alle copie di epoche successive come quella di Scipione Pulzone della Galleria Spada di Roma (Zeri, 1954).;36 - Q_130
Proprietà FEC Fondo Edifici di Culto;Tiziano;Annunciazione;1557;Olio su tela;Misure senza cornice: 274x190 cm Misure con cornice: 282x194 cm;"L'Annunciazione per la cappella Pinelli di San Domenico Maggiore, inserita nella copiosa produzione di Tiziano maturo costituisce un unicum nelle pale d’altare a Napoli, venne trasferita nel 1977 al Museo di Capodimonte in deposito cautelativo. La prima indicazione sull’appartenenza del patronato della cappella dell’Annunciazione ai Pinelli è nella Napoli Sacra di Cesare d’Engenio Caracciolo, che riporta l’iscrizione sul fregio dell’architrave; la trascrizione della dedicatoria è completata dalla descrizione del dipinto: “nell’altare di questa cappella è la tavola in cui è la Vergine dall’Angiolo Annunciata fatta da Titiano da Vecellio di Cador celebre pittore, il quale fu chiaro al mondo nel 1546”. Sull’indicazione di d’Engenio Caracciolo si attesta la guidistica del Sei e Settecento, con minime varianti che non mutano il senso del già detto, reiterando “tavola” in luogo del supporto in tela, da intendersi come sinonimo di ‘pala d’altare’. Da questo coro si leva solista Bernardo de Dominici che, nell’ansia campanilistica che informa le sue Vite, indirizza la tela a Luca Giordano, attribuzione che segnerà la sfortuna critica del dipinto: “e la Nunziata di Tiziano, anche in San Domenico Maggiore, si suppone fatta copiare da Luca Giordano e portato via l’originale [in Spagna], con altre pitture e statue eccellenti” dal viceré Pedro Antonio Ramón Folch de Cardona, in carica dal 16 aprile 1666 al 3 gennaio 1671. Questa tesi prese il sopravvento finché Roberto Longhi nel 1925 non vi si imbatté durante una passeggiata nelle chiese del centro e la riportò in auge rendendo onore a “Tiziano [che] ha trovato anche la sua forma, ma quanto intelletto ha dovuto riassorbire nella propria visione, per permettersi questo nuovo romanticismo!”. I dati stilistici sono quelli di Tiziano maturo, quasi settantenne: il disegno è molto vicino all’Annunciazione del 1537 per la chiesa di Santa Maria degli Angeli a Murano, che, mai portata in chiesa (Vasari 1568, III, p. 811), venne trasferita in Spagna, dove è documentata ancora nel 1794, poi perduta. È nota attraverso l’acquaforte di Gian Giacomo Caraglio: la posa di Maria inclinata con una lieve torsione del busto è pressoché identica, la posa dell’Arcangelo presenta qualche variante. Il soggetto è trattato con grande libertà espressiva; ma la vera novità è la suddivisione dello spazio data dalla maestosa colonna che amplifica e rende solenne la composizione che apre sul paesaggio autunnale, tra ‘combustioni’ cromatiche e accensioni di luce. Quando arrivò a Napoli e fu esposto nella cappella a San Domenico fu evidente che il dipinto fosse al centro del progetto architettonico commissionato dai Pinelli: la luce rarefatta della tela aveva le stesse diagonali provenienti dalle finestre laterale, con un oculo centrale, che fa piovere la luce dall’alto, creano un connubio perfettamente studiato, essenziale per la composizione di Tiziano.";37 - SOTTOCONSEGNA S Domenico Tiziano Vecellio_Annunciazione_Capodimonte_ph.L.Romano_7268
Q 733;Scipione Pulzone;Annunciazione;1587;olio su tela;Misure senza cornice: 230x161 cm Misure con cornice: 263x198x17 cm;L’Annunciazione è un apice della maturità di Scipione da Gaeta oltre che tra i capolavori sconosciuti di Capodimonte. Solo nell’ultimo allestimento del secondo piano della pinacoteca (S. Causa, P. Piscitello in Oltre Caravaggio 2022-2023, p. 54), l’accostamento all’Annunciazione di Francesco Curia proveniente dalla chiesa di Monteoliveto ha consentito, in un colpo, di farne emergere tutta l’importanza per la scena locale. L’accrochage nella sala 79, di seguito al moloch caravaggesco di San Domenico Maggiore, si propone come lettura critica atteso che Curia, del pittore di Gaeta, apparecchia un’intelligente, ma autonoma, rilettura. La foto in alta definizione della tavola di Gaeta provvista ora dal Museo (Google Art and Culture) consente di ingrandire una serie di dettagli di stupefacente presenza: dagli oggetti sulla sedia (le forbici e il ditale), le venature del legno della sedia e del leggio, fino alla stentorea natura morta del giglio a centro pagina e alla scrittura d’inarrivabile scioltezza della barba di Dio Padre (senza contare, in angolo, il cartiglio risvoltato con la firma su cui il maestro non ha dimenticato di dipingere la punta di rosso del sigillo in cera lacca). La meticolosa restituzione naturalistica di questo capolavoro del naturalismo tardo rinascimentale, testo chiave per la pittura a Napoli al passaggio tra Cinque e Seicento introduce, quasi didascalicamente, la nozione di “arte senza tempo” coniata da Federico Zeri in un celebre libro del 1957 intitolato, appunto, a Scipione da Gaeta.;38 - Q_1110
Q 669;Louis Finson;Annunciazione;1612;olio su tela;Misure senza cornice: 298x198 cm Misure con cornice: 302x203x6 cm (listello);"Firmata e datata nel pieno della maturità di questo che figura tra gli amici nordici del Caravaggio a Napoli, l’Annunciazione è l’unica pala chiesastica a noi pervenuta del pittore. Si trovava nella chiesa di San Tommaso d’Aquino, distrutta in epoca fascista nel 1932. Ne esiste un’altra versione, di formato minore (cm 172 x 107) nel Museo dell’Aquila, pure firmata e datata nel 1612. Una copia, forse antica, già nella chiesa della Santissima Annunziata di Atripalda, si conserva oggi nei depositi della Certosa di San Lorenzo a Padula. L’Annunciazione è uno dei testi chiave per indagare gli incrementi e le diversioni della scena locale a due anni dalla morte del Caravaggio (1610). Nel recente allestimento del secondo piano di Capodimonte, la tela è salita al centro parete tra due annunciazioni compagne, scalate di un decennio, di Scipione da Gaeta (1587) e del napoletano Francesco Curia (1596-1597) (S. Causa, P. Piscitello in Oltre Caravaggio 2022-2023, p. 33). Sistemata così, la sala 79 introduce una nuova prospettiva per la scena locale di secondo decennio, stabilendo la lettura critica di una congiuntura stilistica e culturale che travalica l’identità iconografica. A suo tempo, nella monografia sul Caracciolo, ragionai su come, pur con la sostituzione della Madonna col Bambino con il Dio Padre e angeli, la parte superiore della tela del Finson non sia che un calco caravaggesco (dalla Madonna delle Opere della Misericordia). Ma in confronto al modello di San Domenico Maggiore anteriore di un lustro, le ali sono come congelate e gli angeli puntati al muro con gli spilli; la colomba dello Spirito Santo sembra opera paziente da tassidermista e tutto scopre l’inossidabile armatura dell’ultimo romanista fiammingo più a suo agio nella cappella Sistina che nella cappella Cerasi. Pure l’animale era già comparso, difficile dire quando, nel Battesimo di Cristo del Caracciolo, oggi alla Quadreria dei Gerolamini. Tutte opere che spiegano come il caravaggismo napoletano sia, praticamente da subito e ancora vivo il maestro, una questione di interpretazione.";39 - Q699 Finson Annunciazione C033-25
